Designator,Footprint,Quantity,Value,LCSC Part #
C10,0603,1,100n,
C11,1206,1,22u,
C12,1206,1,22u,
C13,1206,1,22u,
C14,0805,1,10u,
C15,0805,1,10u,
C16,0603,1,100n,
C17,1206,1,22u,
C2,0603,1,4u7,
C4,0805,1,10u,
C5,0805,1,1u,
C6,0805,1,1u,
C7,0603,1,4u7,
C8,1206,1,22u,
C9,0201,1,10n,
D1,0402,1,ESD321DPYR,
D2,0402,1,ESD321DPYR,
D3,0402,1,ESD321DPYR,
D4,0603,1,RED,
J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,JST Battery In,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB4800-03-A,
J3,0522070433,1,52207-0460 ,
J4,PinHeader_1x08_P2.54mm_Vertical,1,OLED,
L1,L_SMD_4.8_x_2.85,1,XFL4020-102MEB,
"Q1, Q2",SOT-23,2,BC817,
R1,0201,1,5k1,
R10,0603,1,402k,
R11,0603,1,100k,
R12,0402,1,47k5,
R2,0201,1,5k1,
R3,0201,1,2k2,
R4,1210,1,10k,
R5,0805,1,1k,
R6,1210,1,10k,
R7,1210,1,10k,
R8,0402,1,22k1,
R9,1210,1,10k,
SW1,SS12D00(SPDT amazon),1,450302014072 ,
SW2,SW_SPST_B3U-1000P,1,SW_Push,
U1,ESP32-S3-WROOM-2-N32R8V,1,ESP32-S3-WROOM-2-N32R8V,
U2,SOT-23-5,1,MCP73832T-2DCI/OT,
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,
U4,Texas_S-PVSON-N10_ThermalVias,1,TPS61230DRC,
U5,SOT-223,1,AZ1117IH-3.3TRG1,
