Designator,Mid X,Mid Y,Rotation,Layer
C10,83.3,-46.5,270.0,top
C11,93.3,-74.1,0.0,top
C12,93.35,-77.89,0.0,top
C13,93.35,-81.789999,0.0,top
C14,98.2,-70.0,90.0,top
C15,82.6,-36.9,270.0,top
C16,84.6,-36.7,270.0,top
C17,104.4,-69.1,0.0,top
C2,84.1,-64.0,90.0,top
C4,90.152335,-67.689137,180.0,top
C5,90.152335,-64.149137,180.0,top
C6,90.202334,-60.649138,180.0,top
C7,83.2,-69.7,0.0,top
C8,82.4,-79.2,180.0,top
C9,85.9,-75.1,0.0,top
D1,79.7,-58.7,90.0,top
D2,77.8,-56.9,270.0,top
D3,74.9,-53.5,270.0,top
D4,76.9,-67.0,90.0,top
I2C,112.262625,-57.8,90.0,top
J1,70.35,-70.2,90.0,bottom
J2,67.5,-57.8,270.0,top
J4,117.280256,-72.319744,315.0,top
L1,87.6,-84.5,0.0,top
Q1,77.8,-44.3,0.0,top
Q2,69.599999,-44.3,180.0,top
R1,75.473726,-55.526274,45.0,top
R10,84.516295,-72.483705,225.0,top
R11,81.9,-75.1,225.0,top
R12,93.8625,-63.65,90.0,top
R2,75.0,-59.5,0.0,top
R3,80.2,-63.0,90.0,top
R4,96.9625,-62.35,270.0,top
R5,76.1,-62.8,315.0,top
R6,73.6,-48.2,0.0,top
R7,73.5,-40.1,180.0,top
R8,93.3625,-61.65,0.0,top
R9,83.0,-41.9,180.0,top
SW1,96.3,-88.2,0.0,top
SW2,118.4,-37.0,135.0,top
U1,95.911401,-39.710407,0.0,top
U2,81.2,-66.3,90.0,top
U3,94.6,-57.1,0.0,top
U4,87.55,-78.37,180.0,top
U5,103.1,-75.3,270.0,top
